"","RNAi","exon","exon_cluster","n","average.z","protein"
"397","FBgn0037466..CG1965.","4.03",4,2,3.29416228567138,"CG1965"
"398","FBgn0037466..CG1965.","4.06",4,2,5.16687964068623,"CG1965"
"400","FBgn0037466..CG1965.","4.11",4,2,5.63184923250578,"CG1965"
"401","FBgn0037466..CG1965.","4.skip",4,2,6.27350198291568,"CG1965"
"408","FBgn0037466..CG1965.","9.skip",9,2,3.01352277654347,"CG1965"
"424","FBgn0037660..beag.","4.skip",4,2,6.31244292459658,"beag"
"427","FBgn0037660..beag.","9.skip",9,2,3.25968716498567,"beag"
"438","FBgn0038046..CG5641.","6.47",6,2,2.19597066730852,"CG5641"
"463","FBgn0038464..Sf3a1.","9.13",9,2,2.19889583026615,"Sf3a1"
"464","FBgn0038666..Smu1.","4.skip",4,2,7.61320902976942,"Smu1"
"466","FBgn0038666..Smu1.","9.skip",9,2,3.4310875029417,"Smu1"
"472","FBgn0038927..CG6015.","4.11",4,2,4.0406449743171,"CG6015"
"473","FBgn0038927..CG6015.","4.12",4,2,6.41315544808472,"CG6015"
"479","FBgn0038927..CG6015.","6.48",6,2,4.80870763135192,"CG6015"
"489","FBgn0040284..SF2.","6.25",6,2,3.0963072190058,"SF2"
"525","FBgn0259139..glo.","4.08",4,2,3.89041797728464,"glo"
"526","FBgn0259139..glo.","4.10",4,2,2.75140414669809,"glo"
"535","FBgn0259220..Doa.","4.10",4,2,2.87792588038815,"Doa"
"542","FBgn0259935..CG42458.","4.02",4,2,2.24109936046779,"CG42458"
"543","FBgn0259935..CG42458.","4.08",4,2,3.30820411283849,"CG42458"
"546","FBgn0260010..rump.","4.05",4,2,5.39186137915708,"rump"
"547","FBgn0260010..rump.","4.07",4,2,3.18131881760938,"rump"
"556","FBgn0261119..Prp19.","4.11",4,2,2.64626785614604,"Prp19"
"564","FBgn0261119..Prp19.","9.skip",9,2,2.77647748118664,"Prp19"
"567","FBgn0261552..ps.","4.03",4,2,3.67787362352416,"ps"
"568","FBgn0261552..ps.","4.08",4,2,5.6738791574969,"ps"
"569","FBgn0261552..ps.","4.10",4,2,5.7060181561485,"ps"
"584","FBgn0261790..SmE.","6.47",6,2,2.32329162842986,"SmE"
"585","FBgn0261790..SmE.","6.48",6,2,2.70924164271992,"SmE"
"586","FBgn0261790..SmE.","6.skip",6,2,2.44849210261046,"SmE"
"588","FBgn0261790..SmE.","17.02",17,2,2.21065257707081,"SmE"
"591","FBgn0261872..scaf6.","4.03",4,2,2.63176393011906,"scaf6"
"600","FBgn0261933..SmD1.","6.48",6,2,2.29617737633609,"SmD1"
"604","FBgn0262519..Mi.2.","9.13",9,2,3.3138245562059,"Mi.2"
"605","FBgn0262519..Mi.2.","9.30",9,2,4.36029700249034,"Mi.2"
"609","FBgn0262601..SmB.","6.48",6,2,3.93315083928513,"SmB"
"613","FBgn0262737..mub.","4.01",4,2,4.67808773402082,"mub"
"614","FBgn0262737..mub.","4.02",4,2,11.9021397024059,"mub"
"620","FBgn0263396..sqd.","17.01",17,2,2.26351942461284,"sqd"
"621","FBgn0263599..l.3.72Ab.","4.06",4,2,5.80819231994185,"l.3.72Ab"
"633","FBgn0264491..how.","4.03",4,2,4.2185279280063,"how"
"634","FBgn0264491..how.","4.04",4,2,2.62568295357707,"how"
"635","FBgn0264491..how.","4.05",4,2,2.89483885172093,"how"
"637","FBgn0264491..how.","4.08",4,2,3.53511836575364,"how"
"642","FBgn0265574..Cdc5.","4.06",4,2,3.58520678210686,"Cdc5"
"643","FBgn0265574..Cdc5.","4.11",4,2,3.82848667984815,"Cdc5"
"644","FBgn0265574..Cdc5.","4.skip",4,2,2.99995043600444,"Cdc5"
"647","FBgn0265574..Cdc5.","9.skip",9,2,3.46506443463482,"Cdc5"
"2","FBgn0001215..Hrb98DE.","6.03",6,2,-2.93019776825281,"Hrb98DE"
"4","FBgn0001215..Hrb98DE.","6.47",6,2,-2.21828810729148,"Hrb98DE"
"5","FBgn0001491..l.1.10Bb.","4.01",4,2,-2.23021573468414,"l.1.10Bb"
"131","FBgn0003261..Rm62.","9.09",9,2,-2.47034126489988,"Rm62"
"18","FBgn0004237..Hrb87F.","6.03",6,2,-2.76424734005173,"Hrb87F"
"21","FBgn0004587..B52.","4.03",4,2,-2.76341921530755,"B52"
"22","FBgn0004587..B52.","4.04",4,2,-3.92848487985049,"B52"
"23","FBgn0004587..B52.","4.05",4,2,-3.2345905059416,"B52"
"24","FBgn0004587..B52.","4.07",4,2,-3.40992960627838,"B52"
"28","FBgn0004587..B52.","6.08",6,2,-2.38681326038,"B52"
"301","FBgn0004587..B52.","6.21",6,2,-2.4376425767514,"B52"
"331","FBgn0004587..B52.","9.06",9,2,-2.22722655767693,"B52"
"342","FBgn0004587..B52.","9.13",9,2,-3.6700275873131,"B52"
"36","FBgn0004587..B52.","9.31",9,2,-3.2554258748025,"B52"
"371","FBgn0004856..Bx42.","4.01",4,2,-4.51433593985047,"Bx42"
"381","FBgn0004856..Bx42.","4.03",4,2,-2.32671919394464,"Bx42"
"394","FBgn0004856..Bx42.","4.04",4,2,-2.62792935395821,"Bx42"
"49","FBgn0004856..Bx42.","6.18",6,2,-3.45986946562977,"Bx42"
"50","FBgn0004856..Bx42.","6.21",6,2,-2.80882694297932,"Bx42"
"52","FBgn0004856..Bx42.","6.34",6,2,-2.17638809377764,"Bx42"
"54","FBgn0004856..Bx42.","9.06",9,2,-3.87831878930999,"Bx42"
"55","FBgn0004856..Bx42.","9.13",9,2,-3.02552769135993,"Bx42"
"571","FBgn0004856..Bx42.","9.31",9,2,-2.23473654356698,"Bx42"
"581","FBgn0004856..Bx42.","17.01",17,2,-3.865298309679,"Bx42"
"59","FBgn0005411..U2af50.","4.12",4,2,-2.3282632855916,"U2af50"
"65","FBgn0005411..U2af50.","17.01",17,2,-3.58737516934425,"U2af50"
"66","FBgn0005649..Rox8.","4.03",4,2,-2.93871074704064,"Rox8"
"741","FBgn0014189..Hel25E.","4.01",4,2,-2.7939667520284,"Hel25E"
"751","FBgn0014189..Hel25E.","4.04",4,2,-2.2182107008527,"Hel25E"
"831","FBgn0015818..Spx.","6.16",6,2,-2.28402756614399,"Spx"
"86","FBgn0015907..bl.","4.04",4,2,-3.17448431690192,"bl"
"90","FBgn0015907..bl.","9.22",9,2,-2.2542053822035,"bl"
"91","FBgn0016978..snRNP.U1.70K.","4.04",4,2,-2.16946339452933,"snRNP.U1.70K"
"931","FBgn0016978..snRNP.U1.70K.","9.06",9,2,-2.89136444317296,"snRNP.U1.70K"
"941","FBgn0016978..snRNP.U1.70K.","9.13",9,2,-2.37341859475304,"snRNP.U1.70K"
"951","FBgn0016978..snRNP.U1.70K.","17.01",17,2,-3.29896664082477,"snRNP.U1.70K"
"96","FBgn0017457..U2af38.","4.05",4,2,-2.372607849857,"U2af38"
"97","FBgn0017457..U2af38.","4.12",4,2,-3.22617534551398,"U2af38"
"98","FBgn0017457..U2af38.","9.06",9,2,-3.96141786777923,"U2af38"
"99","FBgn0017457..U2af38.","9.09",9,2,-3.44929142098781,"U2af38"
"100","FBgn0017457..U2af38.","17.01",17,2,-3.83178634015403,"U2af38"
"112","FBgn0024285..Srp54.","4.08",4,2,-2.21049169518427,"Srp54"
"1131","FBgn0024285..Srp54.","4.12",4,2,-2.69992891833911,"Srp54"
"115","FBgn0024285..Srp54.","17.01",17,2,-4.02600186206267,"Srp54"
"118","FBgn0025571..SF1.","9.06",9,2,-2.3861536191603,"SF1"
"121","FBgn0028577..pUf68.","17.01",17,2,-3.48146314377054,"pUf68"
"124","FBgn0030365..Tango4.","4.01",4,2,-2.52066152405555,"Tango4"
"137","FBgn0031114..cactin.","4.01",4,2,-2.22653278834016,"cactin"
"148","FBgn0031883..Caper.","4.12",4,2,-3.75644283961838,"Caper"
"149","FBgn0031883..Caper.","9.06",9,2,-2.7859855188817,"Caper"
"150","FBgn0031883..Caper.","9.09",9,2,-2.35077596902726,"Caper"
"151","FBgn0031883..Caper.","17.01",17,2,-3.63415646739553,"Caper"
"181","FBgn0035692..CG13298.","4.01",4,2,-2.47459967396339,"CG13298"
"182","FBgn0035692..CG13298.","6.03",6,2,-2.22235677075895,"CG13298"
"189","FBgn0037220..CG14641.","4.01",4,2,-3.70048066702338,"CG14641"
"192","FBgn0037466..CG1965.","4.01",4,2,-2.91259453845252,"CG1965"
"194","FBgn0037549..CG7878.","4.12",4,2,-2.3094146015026,"CG7878"
"201","FBgn0038046..CG5641.","6.04",6,2,-2.05626643690867,"CG5641"
"202","FBgn0038046..CG5641.","6.05",6,2,-3.27165677716157,"CG5641"
"2071","FBgn0038269..Rrp6.","6.04",6,2,-2.29746354881038,"Rrp6"
"220","FBgn0038464..Sf3a1.","6.16",6,2,-2.5755023401248,"Sf3a1"
"2231","FBgn0038666..Smu1.","4.04",4,2,-2.18212731946419,"Smu1"
"225","FBgn0038927..CG6015.","4.01",4,2,-3.29770819973205,"CG6015"
"227","FBgn0038927..CG6015.","6.03",6,2,-2.66339043791934,"CG6015"
"228","FBgn0038927..CG6015.","6.05",6,2,-2.56935227409935,"CG6015"
"243","FBgn0259139..glo.","4.03",4,2,-2.10285768699351,"glo"
"264","FBgn0261552..ps.","4.01",4,2,-3.30475888231005,"ps"
"269","FBgn0261790..SmE.","6.16",6,2,-2.13824980068777,"SmE"
"273","FBgn0261790..SmE.","17.01",17,2,-2.21065257707081,"SmE"
"274","FBgn0261872..scaf6.","9.13",9,2,-2.49235777525596,"scaf6"
"290","FBgn0262737..mub.","4.04",4,2,-3.19291537943734,"mub"
"291","FBgn0262737..mub.","4.05",4,2,-4.07832868530261,"mub"
"292","FBgn0262737..mub.","4.06",4,2,-3.62125623023436,"mub"
"293","FBgn0262737..mub.","4.07",4,2,-4.74544266924513,"mub"
"294","FBgn0262737..mub.","4.08",4,2,-3.48304978876125,"mub"
"295","FBgn0262737..mub.","4.10",4,2,-3.35498065229944,"mub"
"2981","FBgn0263396..sqd.","17.02",17,2,-2.26351942461284,"sqd"
"304","FBgn0263603..Zn72D.","4.08",4,2,-2.12803838735754,"Zn72D"
"306","FBgn0264491..how.","4.01",4,2,-3.17905016428149,"how"
"308","FBgn0265298..SC35.","4.07",4,2,-2.42046610533287,"SC35"
"309","FBgn0265574..Cdc5.","4.01",4,2,-2.10706038374826,"Cdc5"
